1,2,3,4,5,6,7,A,B,C,D,E,F,G,J,L,M,N,Q,R,W,Z,GS,FS,RS
103 St,Prospect Av,Borough Hall,59 St,125 St,Brook Av,Hunters Point Av,High St,96 St,34 St-Penn Station,42 St-Bryant Pk,23 St,23 St,4 Av-9 Sts,Halsey St,Bushwick Av-Aberdeen St,47-50 Sts-Rockefeller Ctr,36 St,Cortelyou Rd,49 St,8 St-NYU,Bowery,,,
96 St,Jackson Av,Hoyt St,Grand Central-42 St,86 St,3 Av-138 St,Vernon Blvd-Jackson Av,Jay St-MetroTech,86 St,23 St,34 St-Herald Sq,14 St,14 St,7 Av,Gates Av,Broadway Junction,42 St-Bryant Pk,59 St,Newkirk Plaza,Times Square-42 St,Prince St,Canal St,,,
86 St,3 Av-149 St,Nevins St,14 St-Union Sq,59 St,125 St,Grand Central-42 St,Hoyt-Schermerhorn,81 St-Museum of Natural History,14 St,W 4 St-Washington Sq,W 4 St-Washington Sq,W 4 St-Washington Sq,15 St-Prospect Park,Kosciuszko St,Atlantic Av,34 St-Herald Sq,8 Av,Avenue H,34 St-Herald Square,Canal St,Chambers St,,,
79 St,149 St-Grand Concourse,Atlantic Av-Barclays Ctr,Brooklyn Bridge-City Hall,Grand Central-42 St,116 St,5 Av,Nostrand Av,72 St,W 4-Washington Sq,Broadway-Lafayette St,Spring St,Broadway-Lafayette St,Fort Hamilton Pkwy,Myrtle Av,Sutter Av,23 St,Fort Hamilton Pkwy,Avenue J,28 St,City Hall,Fulton St,,,
72 St,135 St,Bergen St,Fulton St,14 St-Union Sq,110 St,Times Sq-42 St,Utica Av,59 St-Columbus Circle,Spring St,Grand St,Canal St,2 Av,Church Av,Flushing Av,Livonia Av,14 St,New Utrecht Av,Avenue M,23 St,Cortlandt St,Broad St,,,
66 St-Lincoln Center,125 St,Grand Army Plaza,Wall St,Brooklyn Bridge-City Hall,103 St,34 St-Hudson Yards,Broadway Junction,7 Av,Canal St,Atlantic Av-Barclays Ctr,World Trade Center,Delancey St-Essex St,,Lorimer St,New Lots Av,W 4 St-Washington Sq,18 Av,Kings Hwy,14 St-Union Sq,Rector St,,,,
59 St-Columbus Circle,116 St,Eastern Parkway-Brooklyn Museum,Bowling Green,Fulton St,96 St,,Euclid Av,47-50 Sts-Rockefeller Ctr,Chambers St,36 St,,East Broadway,,Hewes St,East 105 St,Broadway-Lafayette St,20 Av,Avenue U,8 St-NYU,Whitehall St-South Ferry,,,,
50 St,Central Park North (110 St),Franklin Av-Medgar Evers College,Borough Hall,Wall St,86 St,,Grant Av,42 St-Bryant Park,Fulton St,9 Av,,York St,,Marcy Av,Canarsie-Rockaway Pkwy,Delancey St-Essex St,Bay Pkwy,Neck Rd,Prince St,,,,,
Times Sq-42 St,96 St,Nostrand Av,Nevins St,Bowling Green,77 St,,80 St,34 St-Herald Sq,High St,Fort Hamilton Pkwy,,Jay St-MetroTech,,Delancey St-Essex St,,Marcy Av,Kings Hwy,Sheepshead Bay,Canal St,,,,,
34 St-Penn Station,72 St,Kingston Av,Atlantic Av-Barclays Ctr,Nereid Av,68 St-Hunter College,,88 St,W 4 St-Washington Sq,Jay St-MetroTech,50 St,,Bergen St,,Bowery,,Hewes St,Avenue U,Brighton Beach,City Hall,,,,,
